,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
14,14,14,898,77829,772,97042,../epiddrad/clust_82_outfiles/clust_82_stats.txt
15,15,15,953,92124,691,107407,../epiddrad/clust_82_outfiles/clust_82_stats.txt
16,16,16,893,106412,641,117663,../epiddrad/clust_82_outfiles/clust_82_stats.txt
17,17,17,907,121831,598,127829,../epiddrad/clust_82_outfiles/clust_82_stats.txt
18,18,18,812,136447,489,136631,../epiddrad/clust_82_outfiles/clust_82_stats.txt
19,19,19,820,152027,459,145352,../epiddrad/clust_82_outfiles/clust_82_stats.txt
20,20,20,724,166507,370,152752,../epiddrad/clust_82_outfiles/clust_82_stats.txt
21,21,21,680,180787,317,159409,../epiddrad/clust_82_outfiles/clust_82_stats.txt
22,22,22,607,194141,282,165613,../epiddrad/clust_82_outfiles/clust_82_stats.txt
23,23,23,556,206929,227,170834,../epiddrad/clust_82_outfiles/clust_82_stats.txt
24,24,24,543,219961,218,176066,../epiddrad/clust_82_outfiles/clust_82_stats.txt
25,25,25,492,232261,189,180791,../epiddrad/clust_82_outfiles/clust_82_stats.txt
26,26,26,420,243181,135,184301,../epiddrad/clust_82_outfiles/clust_82_stats.txt
27,27,27,373,253252,133,187892,../epiddrad/clust_82_outfiles/clust_82_stats.txt
28,28,28,315,262072,100,190692,../epiddrad/clust_82_outfiles/clust_82_stats.txt
29,29,29,268,269844,94,193418,../epiddrad/clust_82_outfiles/clust_82_stats.txt
30,30,30,268,277884,72,195578,../epiddrad/clust_82_outfiles/clust_82_stats.txt
31,31,31,204,284208,49,197097,../epiddrad/clust_82_outfiles/clust_82_stats.txt
32,32,32,185,290128,35,198217,../epiddrad/clust_82_outfiles/clust_82_stats.txt
33,33,33,152,295144,29,199174,../epiddrad/clust_82_outfiles/clust_82_stats.txt
34,34,34,99,298510,22,199922,../epiddrad/clust_82_outfiles/clust_82_stats.txt
35,35,35,93,301765,13,200377,../epiddrad/clust_82_outfiles/clust_82_stats.txt
36,36,36,89,304969,11,200773,../epiddrad/clust_82_outfiles/clust_82_stats.txt
37,37,37,45,306634,8,201069,../epiddrad/clust_82_outfiles/clust_82_stats.txt
38,38,38,31,307812,3,201183,../epiddrad/clust_82_outfiles/clust_82_stats.txt
39,39,39,18,308514,0,201183,../epiddrad/clust_82_outfiles/clust_82_stats.txt
40,40,40,12,308994,2,201263,../epiddrad/clust_82_outfiles/clust_82_stats.txt
0,0,0,67,0,998,0,../epiddrad/clust_83_outfiles/clust_83_stats.txt
1,1,1,169,169,889,889,../epiddrad/clust_83_outfiles/clust_83_stats.txt
2,2,2,213,595,870,2629,../epiddrad/clust_83_outfiles/clust_83_stats.txt
3,3,3,269,1402,845,5164,../epiddrad/clust_83_outfiles/clust_83_stats.txt
4,4,4,365,2862,887,8712,../epiddrad/clust_83_outfiles/clust_83_stats.txt
5,5,5,438,5052,962,13522,../epiddrad/clust_83_outfiles/clust_83_stats.txt
6,6,6,512,8124,976,19378,../epiddrad/clust_83_outfiles/clust_83_stats.txt
7,7,7,619,12457,1012,26462,../epiddrad/clust_83_outfiles/clust_83_stats.txt
8,8,8,671,17825,1058,34926,../epiddrad/clust_83_outfiles/clust_83_stats.txt
9,9,9,766,24719,1097,44799,../epiddrad/clust_83_outfiles/clust_83_stats.txt
10,10,10,854,33259,1005,54849,../epiddrad/clust_83_outfiles/clust_83_stats.txt
11,11,11,853,42642,927,65046,../epiddrad/clust_83_outfiles/clust_83_stats.txt
12,12,12,985,54462,973,76722,../epiddrad/clust_83_outfiles/clust_83_stats.txt
13,13,13,980,67202,936,88890,../epiddrad/clust_83_outfiles/clust_83_stats.txt
14,14,14,922,80110,786,99894,../epiddrad/clust_83_outfiles/clust_83_stats.txt
15,15,15,973,94705,723,110739,../epiddrad/clust_83_outfiles/clust_83_stats.txt
16,16,16,930,109585,672,121491,../epiddrad/clust_83_outfiles/clust_83_stats.txt
17,17,17,937,125514,613,131912,../epiddrad/clust_83_outfiles/clust_83_stats.txt
18,18,18,838,140598,493,140786,../epiddrad/clust_83_outfiles/clust_83_stats.txt
19,19,19,836,156482,474,149792,../epiddrad/clust_83_outfiles/clust_83_stats.txt
20,20,20,760,171682,385,157492,../epiddrad/clust_83_outfiles/clust_83_stats.txt
21,21,21,701,186403,329,164401,../epiddrad/clust_83_outfiles/clust_83_stats.txt
22,22,22,628,200219,289,170759,../epiddrad/clust_83_outfiles/clust_83_stats.txt
23,23,23,578,213513,244,176371,../epiddrad/clust_83_outfiles/clust_83_stats.txt
24,24,24,564,227049,227,181819,../epiddrad/clust_83_outfiles/clust_83_stats.txt
25,25,25,520,240049,188,186519,../epiddrad/clust_83_outfiles/clust_83_stats.txt
26,26,26,429,251203,140,190159,../epiddrad/clust_83_outfiles/clust_83_stats.txt
27,27,27,377,261382,133,193750,../epiddrad/clust_83_outfiles/clust_83_stats.txt
28,28,28,318,270286,101,196578,../epiddrad/clust_83_outfiles/clust_83_stats.txt
29,29,29,285,278551,94,199304,../epiddrad/clust_83_outfiles/clust_83_stats.txt
30,30,30,274,286771,77,201614,../epiddrad/clust_83_outfiles/clust_83_stats.txt
31,31,31,202,293033,52,203226,../epiddrad/clust_83_outfiles/clust_83_stats.txt
32,32,32,184,298921,34,204314,../epiddrad/clust_83_outfiles/clust_83_stats.txt
33,33,33,154,304003,31,205337,../epiddrad/clust_83_outfiles/clust_83_stats.txt
34,34,34,108,307675,23,206119,../epiddrad/clust_83_outfiles/clust_83_stats.txt
35,35,35,101,311210,15,206644,../epiddrad/clust_83_outfiles/clust_83_stats.txt
36,36,36,90,314450,10,207004,../epiddrad/clust_83_outfiles/clust_83_stats.txt
37,37,37,44,316078,6,207226,../epiddrad/clust_83_outfiles/clust_83_stats.txt
38,38,38,35,317408,3,207340,../epiddrad/clust_83_outfiles/clust_83_stats.txt
39,39,39,15,317993,0,207340,../epiddrad/clust_83_outfiles/clust_83_stats.txt
40,40,40,14,318553,1,207380,../epiddrad/clust_83_outfiles/clust_83_stats.txt
0,0,0,73,0,1041,0,../epiddrad/clust_84_outfiles/clust_84_stats.txt
1,1,1,178,178,903,903,../epiddrad/clust_84_outfiles/clust_84_stats.txt
2,2,2,218,614,937,2777,../epiddrad/clust_84_outfiles/clust_84_stats.txt
3,3,3,279,1451,877,5408,../epiddrad/clust_84_outfiles/clust_84_stats.txt
4,4,4,371,2935,919,9084,../epiddrad/clust_84_outfiles/clust_84_stats.txt
5,5,5,445,5160,997,14069,../epiddrad/clust_84_outfiles/clust_84_stats.txt
6,6,6,521,8286,1012,20141,../epiddrad/clust_84_outfiles/clust_84_stats.txt
7,7,7,658,12892,1030,27351,../epiddrad/clust_84_outfiles/clust_84_stats.txt
8,8,8,679,18324,1077,35967,../epiddrad/clust_84_outfiles/clust_84_stats.txt
9,9,9,799,25515,1151,46326,../epiddrad/clust_84_outfiles/clust_84_stats.txt
10,10,10,893,34445,1032,56646,../epiddrad/clust_84_outfiles/clust_84_stats.txt
11,11,11,900,44345,974,67360,../epiddrad/clust_84_outfiles/clust_84_stats.txt
12,12,12,1026,56657,1014,79528,../epiddrad/clust_84_outfiles/clust_84_stats.txt
13,13,13,995,69592,961,92021,../epiddrad/clust_84_outfiles/clust_84_stats.txt
14,14,14,963,83074,813,103403,../epiddrad/clust_84_outfiles/clust_84_stats.txt
15,15,15,1018,98344,755,114728,../epiddrad/clust_84_outfiles/clust_84_stats.txt
16,16,16,958,113672,686,125704,../epiddrad/clust_84_outfiles/clust_84_stats.txt
17,17,17,958,129958,639,136567,../epiddrad/clust_84_outfiles/clust_84_stats.txt
18,18,18,881,145816,514,145819,../epiddrad/clust_84_outfiles/clust_84_stats.txt
19,19,19,876,162460,498,155281,../epiddrad/clust_84_outfiles/clust_84_stats.txt
20,20,20,793,178320,402,163321,../epiddrad/clust_84_outfiles/clust_84_stats.txt
21,21,21,732,193692,344,170545,../epiddrad/clust_84_outfiles/clust_84_stats.txt
22,22,22,658,208168,300,177145,../epiddrad/clust_84_outfiles/clust_84_stats.txt
23,23,23,605,222083,246,182803,../epiddrad/clust_84_outfiles/clust_84_stats.txt
24,24,24,571,235787,242,188611,../epiddrad/clust_84_outfiles/clust_84_stats.txt
25,25,25,530,249037,201,193636,../epiddrad/clust_84_outfiles/clust_84_stats.txt
26,26,26,453,260815,146,197432,../epiddrad/clust_84_outfiles/clust_84_stats.txt
27,27,27,389,271318,142,201266,../epiddrad/clust_84_outfiles/clust_84_stats.txt
28,28,28,330,280558,100,204066,../epiddrad/clust_84_outfiles/clust_84_stats.txt
29,29,29,290,288968,95,206821,../epiddrad/clust_84_outfiles/clust_84_stats.txt
30,30,30,289,297638,74,209041,../epiddrad/clust_84_outfiles/clust_84_stats.txt
31,31,31,210,304148,52,210653,../epiddrad/clust_84_outfiles/clust_84_stats.txt
32,32,32,193,310324,34,211741,../epiddrad/clust_84_outfiles/clust_84_stats.txt
33,33,33,154,315406,37,212962,../epiddrad/clust_84_outfiles/clust_84_stats.txt
34,34,34,119,319452,23,213744,../epiddrad/clust_84_outfiles/clust_84_stats.txt
35,35,35,94,322742,13,214199,../epiddrad/clust_84_outfiles/clust_84_stats.txt
36,36,36,94,326126,14,214703,../epiddrad/clust_84_outfiles/clust_84_stats.txt
37,37,37,48,327902,6,214925,../epiddrad/clust_84_outfiles/clust_84_stats.txt
38,38,38,32,329118,3,215039,../epiddrad/clust_84_outfiles/clust_84_stats.txt
39,39,39,20,329898,0,215039,../epiddrad/clust_84_outfiles/clust_84_stats.txt
40,40,40,11,330338,0,215039,../epiddrad/clust_84_outfiles/clust_84_stats.txt
0,0,0,76,0,1072,0,../epiddrad/clust_85_outfiles/clust_85_stats.txt
1,1,1,179,179,958,958,../epiddrad/clust_85_outfiles/clust_85_stats.txt
2,2,2,232,643,970,2898,../epiddrad/clust_85_outfiles/clust_85_stats.txt
